volume_no,file,original_chars,white_chars,paired_sections,original_only_sections,white_only_sections
259,《资治通鉴.第5部》全译(241-294)/259.txt,10816,19890,109,0,0
260,《资治通鉴.第5部》全译(241-294)/260.txt,10627,18361,120,0,0
261,《资治通鉴.第5部》全译(241-294)/261.txt,9082,15967,129,0,0
262,《资治通鉴.第5部》全译(241-294)/262.txt,10818,16497,68,0,0
263,《资治通鉴.第5部》全译(241-294)/263.txt,10115,15358,53,0,0
264,《资治通鉴.第5部》全译(241-294)/264.txt,8329,12299,57,0,0
265,《资治通鉴.第5部》全译(241-294)/265.txt,9576,14178,104,0,0
266,《资治通鉴.第5部》全译(241-294)/266.txt,11197,15706,85,0,1
267,《资治通鉴.第5部》全译(241-294)/267.txt,11305,16743,117,0,1
268,《资治通鉴.第5部》全译(241-294)/268.txt,11524,16970,124,0,0
269,《资治通鉴.第5部》全译(241-294)/269.txt,11464,18996,87,0,0
270,《资治通鉴.第5部》全译(241-294)/270.txt,11614,18355,75,0,1
271,《资治通鉴.第5部》全译(241-294)/271.txt,9133,14764,66,0,1
272,《资治通鉴.第5部》全译(241-294)/272.txt,11025,17846,49,0,1
273,《资治通鉴.第5部》全译(241-294)/273.txt,10585,17164,115,1,0
274,《资治通鉴.第5部》全译(241-294)/274.txt,10546,17872,59,0,0
275,《资治通鉴.第5部》全译(241-294)/275.txt,9178,15076,100,0,0
276,《资治通鉴.第5部》全译(241-294)/276.txt,9227,14299,117,0,0
277,《资治通鉴.第5部》全译(241-294)/277.txt,11634,17114,123,0,1
278,《资治通鉴.第5部》全译(241-294)/278.txt,8830,13439,92,0,1
279,《资治通鉴.第5部》全译(241-294)/279.txt,11161,17494,108,0,0
280,《资治通鉴.第5部》全译(241-294)/280.txt,10436,14392,57,1,0
281,《资治通鉴.第5部》全译(241-294)/281.txt,8799,14537,93,0,2
282,《资治通鉴.第5部》全译(241-294)/282.txt,11628,17161,111,0,0
283,《资治通鉴.第5部》全译(241-294)/283.txt,9724,16448,81,0,3
284,《资治通鉴.第5部》全译(241-294)/284.txt,9760,14346,65,0,0
285,《资治通鉴.第5部》全译(241-294)/285.txt,9559,14338,51,0,0
286,《资治通鉴.第5部》全译(241-294)/286.txt,9674,14522,60,0,1
287,《资治通鉴.第5部》全译(241-294)/287.txt,9097,14460,76,0,0
288,《资治通鉴.第5部》全译(241-294)/288.txt,10301,15352,82,0,0
289,《资治通鉴.第5部》全译(241-294)/289.txt,10278,15918,56,0,0
290,《资治通鉴.第5部》全译(241-294)/290.txt,10723,17568,98,0,0
291,《资治通鉴.第5部》全译(241-294)/291.txt,10642,16492,93,0,0
292,《资治通鉴.第5部》全译(241-294)/292.txt,8967,15958,70,0,0
293,《资治通鉴.第5部》全译(241-294)/293.txt,9298,16478,74,0,1
294,《资治通鉴.第5部》全译(241-294)/294.txt,9565,15035,80,0,1
